Lea State,LEA,School State,School,ID,Year,Category,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),LEP
VA,FAIRFAX CO PBLC SCHS,VA,HAYFIELD SECONDARY,510126000493,2015,Passing no AP tests taken,0,0.16,0,0.12,0.34,0.32,0.06,1.00,0.04,0
VA,FAIRFAX CO PBLC SCHS,VA,HAYFIELD SECONDARY,510126000493,2015,Total Enrollment (Secondary Schools),0.00,0.14,0.00,0.21,0.27,0.32,0.06,1.00,0.13,0.09
VA,FAIRFAX CO PBLC SCHS,VA,HERNDON HIGH,510126000495,2015,Enrollment in AP classes,0.00,0.16,0.00,0.15,0.06,0.58,0.04,1.00,0.03,0.01
VA,FAIRFAX CO PBLC SCHS,VA,HERNDON HIGH,510126000495,2015,Taking AP tests for some AP courses taken,0.00,0.17,0.00,0.15,0.06,0.59,0.04,1.00,0.03,0.01
VA,FAIRFAX CO PBLC SCHS,VA,HERNDON HIGH,510126000495,2015,Students who took AP courses but did not take any AP tests,0.00,0.20,0.00,0.10,0.10,0.50,0.10,1.00,0.20,0.00
VA,FAIRFAX CO PBLC SCHS,VA,HERNDON HIGH,510126000495,2015,Passing some AP tests taken,0,0.17,0,0.13,0.05,0.62,0.03,1.00,0.02,0.01
VA,FAIRFAX CO PBLC SCHS,VA,HERNDON HIGH,510126000495,2015,Passing no AP tests taken,0,0.13,0,0.24,0.08,0.51,0.04,1.00,0.04,0
VA,FAIRFAX CO PBLC SCHS,VA,HERNDON HIGH,510126000495,2015,Total Enrollment (Secondary Schools),0.00,0.12,0.00,0.39,0.08,0.37,0.04,1.00,0.14,0.21
VA,FAIRFAX CO PBLC SCHS,VA,BRYANT ALTERNATIVE HIGH,510126000497,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,BRYANT ALTERNATIVE HIGH,510126000497,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,BRYANT ALTERNATIVE HIGH,510126000497,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,BRYANT ALTERNATIVE HIGH,510126000497,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,BRYANT ALTERNATIVE HIGH,510126000497,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,BRYANT ALTERNATIVE HIGH,510126000497,2015,Total Enrollment (Secondary Schools),0.01,0.09,0.00,0.56,0.24,0.10,0.01,1.00,0.13,0.34
VA,FAIRFAX CO PBLC SCHS,VA,STUART HIGH,510126000505,2015,Enrollment in AP classes,0.00,0.33,0.00,0.00,0.00,0.67,0.00,1.00,0.33,0.00
VA,FAIRFAX CO PBLC SCHS,VA,STUART HIGH,510126000505,2015,Taking AP tests for some AP courses taken,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
VA,FAIRFAX CO PBLC SCHS,VA,STUART HIGH,510126000505,2015,Students who took AP courses but did not take any AP tests,0.00,0.33,0.00,0.00,0.00,0.67,0.00,1.00,0.33,0.00
VA,FAIRFAX CO PBLC SCHS,VA,STUART HIGH,510126000505,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,STUART HIGH,510126000505,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,STUART HIGH,510126000505,2015,Total Enrollment (Secondary Schools),0.00,0.14,0.00,0.50,0.10,0.23,0.02,1.00,0.14,0.30
VA,FAIRFAX CO PBLC SCHS,VA,KEY CENTER,510126000510,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,KEY CENTER,510126000510,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,KEY CENTER,510126000510,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,KEY CENTER,510126000510,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,KEY CENTER,510126000510,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,KEY CENTER,510126000510,2015,Total Enrollment (Secondary Schools),0.00,0.10,0.00,0.25,0.19,0.40,0.07,1.00,1.00,0.40
VA,FAIRFAX CO PBLC SCHS,VA,KILMER CENTER,510126000512,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,KILMER CENTER,510126000512,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,KILMER CENTER,510126000512,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,KILMER CENTER,510126000512,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,KILMER CENTER,510126000512,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,FAIRFAX CO PBLC SCHS,VA,KILMER CENTER,510126000512,2015,Total Enrollment (Secondary Schools),0.00,0.17,0.00,0.21,0.13,0.44,0.05,1.00,1.04,0.40
VA,HENRICO CO PBLC SCHS,VA,GODWIN HIGH,510189001851,2015,Enrollment in AP classes,0.00,0.17,0.00,0.04,0.03,0.72,0.03,1.00,0.01,0.00
VA,HENRICO CO PBLC SCHS,VA,GODWIN HIGH,510189001851,2015,Taking AP tests for some AP courses taken,0.00,0.20,0.00,0.04,0.02,0.70,0.03,1.00,0.00,0.00
VA,HENRICO CO PBLC SCHS,VA,GODWIN HIGH,510189001851,2015,Students who took AP courses but did not take any AP tests,0.00,0.07,0.00,0.05,0.07,0.79,0.03,1.00,0.03,0.00
VA,HENRICO CO PBLC SCHS,VA,GODWIN HIGH,510189001851,2015,Passing some AP tests taken,0,0.23,0,0.05,0.02,0.67,0.03,1.00,0,0
VA,HENRICO CO PBLC SCHS,VA,GODWIN HIGH,510189001851,2015,Passing no AP tests taken,0,0.10,0,0,0.05,0.84,0,1.00,0,0
VA,HENRICO CO PBLC SCHS,VA,GODWIN HIGH,510189001851,2015,Total Enrollment (Secondary Schools),0.00,0.11,0.00,0.05,0.08,0.72,0.03,1.00,0.10,0.02
VA,HENRICO CO PBLC SCHS,VA,DEEP RUN HIGH,510189002278,2015,Enrollment in AP classes,0.00,0.14,0.00,0.05,0.03,0.75,0.03,1.00,0.01,0.00
VA,HENRICO CO PBLC SCHS,VA,DEEP RUN HIGH,510189002278,2015,Taking AP tests for some AP courses taken,0.00,0.14,0.00,0.04,0.04,0.75,0.03,1.00,0.01,0.00
VA,HENRICO CO PBLC SCHS,VA,DEEP RUN HIGH,510189002278,2015,Students who took AP courses but did not take any AP tests,0.00,0.12,0.00,0.06,0.00,0.76,0.06,1.00,0.06,0.00
VA,HENRICO CO PBLC SCHS,VA,DEEP RUN HIGH,510189002278,2015,Passing some AP tests taken,0,0.16,0,0.05,0.03,0.74,0.03,1.00,0,0
VA,HENRICO CO PBLC SCHS,VA,DEEP RUN HIGH,510189002278,2015,Passing no AP tests taken,0,0.06,0,0.03,0.06,0.83,0.03,1.00,0,0
VA,HENRICO CO PBLC SCHS,VA,DEEP RUN HIGH,510189002278,2015,Total Enrollment (Secondary Schools),0.00,0.12,0.00,0.05,0.05,0.74,0.03,1.00,0.07,0.02
VA,HENRICO CO PBLC SCHS,VA,VA. RANDOLPH ED. CTR,510189002442,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,HENRICO CO PBLC SCHS,VA,VA. RANDOLPH ED. CTR,510189002442,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,HENRICO CO PBLC SCHS,VA,VA. RANDOLPH ED. CTR,510189002442,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,HENRICO CO PBLC SCHS,VA,VA. RANDOLPH ED. CTR,510189002442,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,HENRICO CO PBLC SCHS,VA,VA. RANDOLPH ED. CTR,510189002442,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,HENRICO CO PBLC SCHS,VA,VA. RANDOLPH ED. CTR,510189002442,2015,Total Enrollment (Secondary Schools),0.00,0.03,0.00,0.03,0.57,0.33,0.03,1.00,0.93,0.03
VA,HENRICO CO PBLC SCHS,VA,GLEN ALLEN HIGH,510189002837,2015,Enrollment in AP classes,0.00,0.10,0.00,0.05,0.11,0.70,0.05,1.00,0.02,0.00
VA,HENRICO CO PBLC SCHS,VA,GLEN ALLEN HIGH,510189002837,2015,Taking AP tests for some AP courses taken,0.00,0.10,0.00,0.04,0.10,0.71,0.04,1.00,0.01,0.00
VA,HENRICO CO PBLC SCHS,VA,GLEN ALLEN HIGH,510189002837,2015,Students who took AP courses but did not take any AP tests,0.00,0.08,0.00,0.08,0.21,0.60,0.04,1.00,0.02,0.00
VA,HENRICO CO PBLC SCHS,VA,GLEN ALLEN HIGH,510189002837,2015,Passing some AP tests taken,0,0.11,0,0.04,0.07,0.74,0.04,1.00,0.01,0
VA,HENRICO CO PBLC SCHS,VA,GLEN ALLEN HIGH,510189002837,2015,Passing no AP tests taken,0,0.04,0,0.07,0.18,0.65,0.07,1.00,0.04,0
VA,HENRICO CO PBLC SCHS,VA,GLEN ALLEN HIGH,510189002837,2015,Total Enrollment (Secondary Schools),0.00,0.10,0.00,0.05,0.18,0.62,0.04,1.00,0.09,0.01
VA,HENRICO CO PBLC SCHS,VA,CENTER FOR DIVERSIFIED STUDIES,510189002841,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,HENRICO CO PBLC SCHS,VA,CENTER FOR DIVERSIFIED STUDIES,510189002841,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,HENRICO CO PBLC SCHS,VA,CENTER FOR DIVERSIFIED STUDIES,510189002841,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,HENRICO CO PBLC SCHS,VA,CENTER FOR DIVERSIFIED STUDIES,510189002841,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,HENRICO CO PBLC SCHS,VA,CENTER FOR DIVERSIFIED STUDIES,510189002841,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,HENRICO CO PBLC SCHS,VA,CENTER FOR DIVERSIFIED STUDIES,510189002841,2015,Total Enrollment (Secondary Schools),0.00,0.00,0.00,0.20,0.20,0.40,0.20,1.00,0,0.00
VA,NORTHAMPTON CO PBLC SCHS,VA,NORTHAMPTON HIGH,510271001155,2015,Enrollment in AP classes,0.00,0.03,0.00,0.06,0.34,0.53,0.03,1.00,0.00,0.00
VA,NORTHAMPTON CO PBLC SCHS,VA,NORTHAMPTON HIGH,510271001155,2015,Taking AP tests for some AP courses taken,0.00,0.00,0.00,0.07,0.39,0.50,0.04,1.00,0.00,0.00
VA,NORTHAMPTON CO PBLC SCHS,VA,NORTHAMPTON HIGH,510271001155,2015,Students who took AP courses but did not take any AP tests,0.00,0.20,0.00,0.00,0.40,0.40,0.00,1.00,0.00,0.00
VA,NORTHAMPTON CO PBLC SCHS,VA,NORTHAMPTON HIGH,510271001155,2015,Passing some AP tests taken,0,0,0,0,0.22,0.78,0,1.00,0,0
VA,NORTHAMPTON CO PBLC SCHS,VA,NORTHAMPTON HIGH,510271001155,2015,Passing no AP tests taken,0,0,0,0.19,0.40,0.40,0,1.00,0,0
VA,NORTHAMPTON CO PBLC SCHS,VA,NORTHAMPTON HIGH,510271001155,2015,Total Enrollment (Secondary Schools),0.00,0.01,0.00,0.15,0.50,0.31,0.02,1.00,0.11,0.08
VA,NORTHUMBERLAND CO PBLC SCHS,VA,NORTHUMBERLAND HIGH,510273001159,2015,Enrollment in AP classes,0.00,0.00,0.00,0.09,0.23,0.64,0.05,1.00,0.05,0.00
VA,NORTHUMBERLAND CO PBLC SCHS,VA,NORTHUMBERLAND HIGH,510273001159,2015,Taking AP tests for some AP courses taken,0.00,0.00,0.00,0.10,0.24,0.61,0.05,1.00,0.05,0.00
VA,NORTHUMBERLAND CO PBLC SCHS,VA,NORTHUMBERLAND HIGH,510273001159,2015,Students who took AP courses but did not take any AP tests,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
VA,NORTHUMBERLAND CO PBLC SCHS,VA,NORTHUMBERLAND HIGH,510273001159,2015,Passing some AP tests taken,0,0,0,0,0,1.00,0,1.00,0,0
VA,NORTHUMBERLAND CO PBLC SCHS,VA,NORTHUMBERLAND HIGH,510273001159,2015,Passing no AP tests taken,0,0,0,0,0.29,0.71,0,1.00,0,0
VA,NORTHUMBERLAND CO PBLC SCHS,VA,NORTHUMBERLAND HIGH,510273001159,2015,Total Enrollment (Secondary Schools),0.00,0.00,0.00,0.04,0.37,0.56,0.02,1.00,0.15,0.00
VA,NORTON CITY PBLC SCHS,VA,J.I. BURTON HIGH,510276001162,2015,Enrollment in AP classes,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00
VA,NORTON CITY PBLC SCHS,VA,J.I. BURTON HIGH,510276001162,2015,Taking AP tests for some AP courses taken,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,NORTON CITY PBLC SCHS,VA,J.I. BURTON HIGH,510276001162,2015,Students who took AP courses but did not take any AP tests,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VA,NORTON CITY PBLC SCHS,VA,J.I. BURTON HIGH,510276001162,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,NORTON CITY PBLC SCHS,VA,J.I. BURTON HIGH,510276001162,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,NORTON CITY PBLC SCHS,VA,J.I. BURTON HIGH,510276001162,2015,Total Enrollment (Secondary Schools),0.00,0.01,0.00,0.03,0.08,0.83,0.04,1.00,0.11,0.01
VA,NOTTOWAY CO PBLC SCHS,VA,NOTTOWAY HIGH,510279001942,2015,Enrollment in AP classes,0,0,0,0,0,0,0,0,0,0
VA,NOTTOWAY CO PBLC SCHS,VA,NOTTOWAY HIGH,510279001942,2015,Taking AP tests for some AP courses taken,0,0,0,0,0,0,0,0,0,0
VA,NOTTOWAY CO PBLC SCHS,VA,NOTTOWAY HIGH,510279001942,2015,Students who took AP courses but did not take any AP tests,0,0,0,0,0,0,0,0,0,0
VA,NOTTOWAY CO PBLC SCHS,VA,NOTTOWAY HIGH,510279001942,2015,Passing some AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,NOTTOWAY CO PBLC SCHS,VA,NOTTOWAY HIGH,510279001942,2015,Passing no AP tests taken,0,0,0,0,0,0,0,0,0,0
VA,NOTTOWAY CO PBLC SCHS,VA,NOTTOWAY HIGH,510279001942,2015,Total Enrollment (Secondary Schools),0.01,0.01,0.00,0.05,0.39,0.50,0.04,1.00,0.13,0.03
