Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
VA,ALEXANDRIA CITY PBLC SCHS,VA,WILLIAM RAMSAY ELEM,510012000055,2015,School Administration Staff,471931.00,6.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,WILLIAM RAMSAY ELEM,510012000055,2015,Support Services Staff (for Pupils and for Instructional Staff),582767.00,10.50,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,WILLIAM RAMSAY ELEM,510012000055,2015,Non-Personnel Expenditures,1274984.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,WILLIAM RAMSAY ELEM,510012000055,2015,Total enrollment,,,13.00,67.00,2.00,499.00,226.00,88.00,7.00,902.00,41.00,4.00,577.00
VA,ALEXANDRIA CITY PBLC SCHS,VA,TC WILLIAMS HIGH,510012000054,2015,Salary Amount for Total Personnel (instructional support services and school administration),28978174.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,TC WILLIAMS HIGH,510012000054,2015,Salary Amount for Teachers,22268282.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,TC WILLIAMS HIGH,510012000054,2015,Instructional Aides,517981.00,57.85,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,TC WILLIAMS HIGH,510012000054,2015,School Administration Staff,2746106.00,33.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,TC WILLIAMS HIGH,510012000054,2015,Support Services Staff (for Pupils and for Instructional Staff),3558955.00,58.58,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,TC WILLIAMS HIGH,510012000054,2015,Non-Personnel Expenditures,5535407.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,TC WILLIAMS HIGH,510012000054,2015,Total enrollment,,,4.00,196.00,13.00,1393.00,1150.00,751.00,73.00,3580.00,350.00,160.00,856.00
VA,ALEXANDRIA CITY PBLC SCHS,VA,CORA KELLY MAGNET ELEM,510012001826,2015,Salary Amount for Total Personnel (instructional support services and school administration),4156824.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CORA KELLY MAGNET ELEM,510012001826,2015,Salary Amount for Teachers,2995471.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CORA KELLY MAGNET ELEM,510012001826,2015,Instructional Aides,391686.00,14.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CORA KELLY MAGNET ELEM,510012001826,2015,School Administration Staff,317782.00,3.50,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CORA KELLY MAGNET ELEM,510012001826,2015,Support Services Staff (for Pupils and for Instructional Staff),454451.00,8.70,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CORA KELLY MAGNET ELEM,510012001826,2015,Non-Personnel Expenditures,746449.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CORA KELLY MAGNET ELEM,510012001826,2015,Total enrollment,,,0.00,5.00,0.00,250.00,79.00,25.00,2.00,361.00,53.00,0.00,199.00
VA,ALEXANDRIA CITY PBLC SCHS,VA,SAMUEL W TUCKER ELEM,510012002549,2015,Salary Amount for Total Personnel (instructional support services and school administration),5914614.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,SAMUEL W TUCKER ELEM,510012002549,2015,Salary Amount for Teachers,4575847.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,SAMUEL W TUCKER ELEM,510012002549,2015,Instructional Aides,284526.00,9.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,SAMUEL W TUCKER ELEM,510012002549,2015,School Administration Staff,292527.00,3.88,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,SAMUEL W TUCKER ELEM,510012002549,2015,Support Services Staff (for Pupils and for Instructional Staff),766848.00,10.20,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,SAMUEL W TUCKER ELEM,510012002549,2015,Non-Personnel Expenditures,909441.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,SAMUEL W TUCKER ELEM,510012002549,2015,Total enrollment,,,2.00,58.00,0.00,199.00,304.00,166.00,16.00,745.00,62.00,4.00,256.00
VA,ALEXANDRIA CITY PBLC SCHS,VA,MOUNT VERNON ELEM,510012000050,2015,Salary Amount for Total Personnel (instructional support services and school administration),5996582.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MOUNT VERNON ELEM,510012000050,2015,Salary Amount for Teachers,4418967.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MOUNT VERNON ELEM,510012000050,2015,Instructional Aides,307632.00,10.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MOUNT VERNON ELEM,510012000050,2015,School Administration Staff,443746.00,5.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MOUNT VERNON ELEM,510012000050,2015,Support Services Staff (for Pupils and for Instructional Staff),831216.00,12.90,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MOUNT VERNON ELEM,510012000050,2015,Non-Personnel Expenditures,1000479.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MOUNT VERNON ELEM,510012000050,2015,Total enrollment,,,0.00,13.00,2.00,484.00,52.00,283.00,22.00,856.00,68.00,19.00,376.00
VA,ALEXANDRIA CITY PBLC SCHS,VA,MAURY ELEM,510012000048,2015,Salary Amount for Total Personnel (instructional support services and school administration),3281601.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MAURY ELEM,510012000048,2015,Salary Amount for Teachers,2280170.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MAURY ELEM,510012000048,2015,Instructional Aides,174141.00,6.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MAURY ELEM,510012000048,2015,School Administration Staff,284135.00,3.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MAURY ELEM,510012000048,2015,Support Services Staff (for Pupils and for Instructional Staff),547107.00,7.80,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MAURY ELEM,510012000048,2015,Non-Personnel Expenditures,516325.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,MAURY ELEM,510012000048,2015,Total enrollment,,,0.00,7.00,0.00,40.00,127.00,253.00,16.00,443.00,38.00,4.00,22.00
VA,ALEXANDRIA CITY PBLC SCHS,VA,JAMES K POLK ELEM,510012000043,2015,Salary Amount for Total Personnel (instructional support services and school administration),5581853.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JAMES K POLK ELEM,510012000043,2015,Salary Amount for Teachers,4157674.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JAMES K POLK ELEM,510012000043,2015,Instructional Aides,340789.00,12.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JAMES K POLK ELEM,510012000043,2015,School Administration Staff,443766.00,5.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JAMES K POLK ELEM,510012000043,2015,Support Services Staff (for Pupils and for Instructional Staff),643856.00,9.70,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JAMES K POLK ELEM,510012000043,2015,Non-Personnel Expenditures,890953.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JAMES K POLK ELEM,510012000043,2015,Total enrollment,,,10.00,37.00,4.00,235.00,271.00,166.00,22.00,745.00,65.00,2.00,283.00
VA,ALEXANDRIA CITY PBLC SCHS,VA,JEFFERSON-HOUSTON ELEM,510012000044,2015,Salary Amount for Total Personnel (instructional support services and school administration),4980134.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JEFFERSON-HOUSTON ELEM,510012000044,2015,Salary Amount for Teachers,3430543.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JEFFERSON-HOUSTON ELEM,510012000044,2015,Instructional Aides,449541.00,13.15,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JEFFERSON-HOUSTON ELEM,510012000044,2015,School Administration Staff,389196.00,4.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JEFFERSON-HOUSTON ELEM,510012000044,2015,Support Services Staff (for Pupils and for Instructional Staff),670103.00,9.60,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JEFFERSON-HOUSTON ELEM,510012000044,2015,Non-Personnel Expenditures,788611.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,JEFFERSON-HOUSTON ELEM,510012000044,2015,Total enrollment,,,0.00,10.00,0.00,109.00,328.00,70.00,10.00,527.00,98.00,10.00,70.00
VA,ALEXANDRIA CITY PBLC SCHS,VA,CHARLES BARRETT ELEM,510012000038,2015,Salary Amount for Total Personnel (instructional support services and school administration),3912635.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CHARLES BARRETT ELEM,510012000038,2015,Salary Amount for Teachers,2943818.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CHARLES BARRETT ELEM,510012000038,2015,Instructional Aides,219676.00,7.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CHARLES BARRETT ELEM,510012000038,2015,School Administration Staff,274780.00,3.00,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CHARLES BARRETT ELEM,510012000038,2015,Support Services Staff (for Pupils and for Instructional Staff),478553.00,6.80,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CHARLES BARRETT ELEM,510012000038,2015,Non-Personnel Expenditures,605540.00,,,,,,,,,,,,
VA,ALEXANDRIA CITY PBLC SCHS,VA,CHARLES BARRETT ELEM,510012000038,2015,Total enrollment,,,0.00,10.00,4.00,115.00,76.00,247.00,22.00,474.00,71.00,13.00,85.00
VA,ALLEGHANY CO PBLC SCHS,VA,ALLEGHANY HIGH,510015201883,2015,Salary Amount for Total Personnel (instructional support services and school administration),3585001.00,,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,ALLEGHANY HIGH,510015201883,2015,Salary Amount for Teachers,2580993.00,,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,ALLEGHANY HIGH,510015201883,2015,Instructional Aides,145510.00,8.00,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,ALLEGHANY HIGH,510015201883,2015,School Administration Staff,300706.00,4.00,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,ALLEGHANY HIGH,510015201883,2015,Support Services Staff (for Pupils and for Instructional Staff),557792.00,22.70,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,ALLEGHANY HIGH,510015201883,2015,Non-Personnel Expenditures,91941.00,,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,ALLEGHANY HIGH,510015201883,2015,Total enrollment,,,4.00,4.00,0.00,10.00,67.00,649.00,19.00,753.00,98.00,37.00,2.00
VA,ALLEGHANY CO PBLC SCHS,VA,MT VIEW ELEM,510015201938,2015,Salary Amount for Total Personnel (instructional support services and school administration),3289171.00,,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,MT VIEW ELEM,510015201938,2015,Salary Amount for Teachers,2240401.00,,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,MT VIEW ELEM,510015201938,2015,Instructional Aides,281487.00,15.00,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,MT VIEW ELEM,510015201938,2015,School Administration Staff,154648.00,2.00,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,MT VIEW ELEM,510015201938,2015,Support Services Staff (for Pupils and for Instructional Staff),481189.00,24.18,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,MT VIEW ELEM,510015201938,2015,Non-Personnel Expenditures,57623.00,,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,MT VIEW ELEM,510015201938,2015,Total enrollment,,,0.00,4.00,0.00,16.00,43.00,427.00,40.00,530.00,86.00,10.00,7.00
VA,ALLEGHANY CO PBLC SCHS,VA,CALLAGHAN ELEM,510015201885,2015,Salary Amount for Total Personnel (instructional support services and school administration),1384078.00,,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,CALLAGHAN ELEM,510015201885,2015,Salary Amount for Teachers,951425.00,,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,CALLAGHAN ELEM,510015201885,2015,Instructional Aides,78007.00,4.00,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,CALLAGHAN ELEM,510015201885,2015,School Administration Staff,81906.00,1.00,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,CALLAGHAN ELEM,510015201885,2015,Support Services Staff (for Pupils and for Instructional Staff),272740.00,13.12,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,CALLAGHAN ELEM,510015201885,2015,Non-Personnel Expenditures,23572.00,,,,,,,,,,,,
VA,ALLEGHANY CO PBLC SCHS,VA,CALLAGHAN ELEM,510015201885,2015,Total enrollment,,,0.00,0.00,0.00,0.00,5.00,211.00,4.00,220.00,41.00,4.00,0.00
VA,CAROLINE CO PBLC SCHS,VA,LEWIS & CLARK ELEM,510066002784,2015,Salary Amount for Total Personnel (instructional support services and school administration),3125538.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,LEWIS & CLARK ELEM,510066002784,2015,Salary Amount for Teachers,32180520.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,LEWIS & CLARK ELEM,510066002784,2015,Instructional Aides,291216.00,20.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,LEWIS & CLARK ELEM,510066002784,2015,School Administration Staff,147587.00,2.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,LEWIS & CLARK ELEM,510066002784,2015,Support Services Staff (for Pupils and for Instructional Staff),2585270.00,6.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,LEWIS & CLARK ELEM,510066002784,2015,Non-Personnel Expenditures,704314.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,LEWIS & CLARK ELEM,510066002784,2015,Total enrollment,,,2.00,4.00,2.00,91.00,184.00,559.00,73.00,915.00,80.00,10.00,37.00
VA,CAROLINE CO PBLC SCHS,VA,MADISON ELEM,510066000241,2015,Salary Amount for Total Personnel (instructional support services and school administration),2025183.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,MADISON ELEM,510066000241,2015,Salary Amount for Teachers,1543991.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,MADISON ELEM,510066000241,2015,Instructional Aides,169717.00,15.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,MADISON ELEM,510066000241,2015,School Administration Staff,143460.00,2.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,MADISON ELEM,510066000241,2015,Support Services Staff (for Pupils and for Instructional Staff),209219.00,5.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,MADISON ELEM,510066000241,2015,Non-Personnel Expenditures,399974.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,MADISON ELEM,510066000241,2015,Total enrollment,,,0.00,2.00,0.00,43.00,169.00,265.00,58.00,537.00,38.00,4.00,7.00
VA,CAROLINE CO PBLC SCHS,VA,BOWLING GREEN ELEM,510066000237,2015,Salary Amount for Total Personnel (instructional support services and school administration),2979934.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,BOWLING GREEN ELEM,510066000237,2015,Salary Amount for Teachers,2601283.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,BOWLING GREEN ELEM,510066000237,2015,Instructional Aides,341945.00,26.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,BOWLING GREEN ELEM,510066000237,2015,School Administration Staff,15086.00,2.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,BOWLING GREEN ELEM,510066000237,2015,Support Services Staff (for Pupils and for Instructional Staff),289559.00,7.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,BOWLING GREEN ELEM,510066000237,2015,Non-Personnel Expenditures,577742.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,BOWLING GREEN ELEM,510066000237,2015,Total enrollment,,,4.00,0.00,2.00,55.00,238.00,424.00,61.00,784.00,110.00,7.00,13.00
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE HIGH,510066000238,2015,Salary Amount for Total Personnel (instructional support services and school administration),4886557.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE HIGH,510066000238,2015,Salary Amount for Teachers,3715070.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE HIGH,510066000238,2015,Instructional Aides,123751.00,10.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE HIGH,510066000238,2015,School Administration Staff,403450.00,5.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE HIGH,510066000238,2015,Support Services Staff (for Pupils and for Instructional Staff),744372.00,18.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE HIGH,510066000238,2015,Non-Personnel Expenditures,877723.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE HIGH,510066000238,2015,Total enrollment,,,7.00,7.00,7.00,73.00,385.00,658.00,76.00,1213.00,164.00,31.00,22.00
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE MIDDLE,510066000051,2015,Salary Amount for Total Personnel (instructional support services and school administration),837258.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE MIDDLE,510066000051,2015,Salary Amount for Teachers,2933332.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE MIDDLE,510066000051,2015,Instructional Aides,189265.00,16.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE MIDDLE,510066000051,2015,School Administration Staff,310911.00,4.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE MIDDLE,510066000051,2015,Support Services Staff (for Pupils and for Instructional Staff),337080.00,11.00,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE MIDDLE,510066000051,2015,Non-Personnel Expenditures,689345.00,,,,,,,,,,,,
VA,CAROLINE CO PBLC SCHS,VA,CAROLINE MIDDLE,510066000051,2015,Total enrollment,,,4.00,7.00,4.00,64.00,274.00,490.00,94.00,937.00,128.00,28.00,25.00
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY ED CENTER,510069002489,2015,Salary Amount for Total Personnel (instructional support services and school administration),28211.00,,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY ED CENTER,510069002489,2015,Salary Amount for Teachers,177500.00,,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY ED CENTER,510069002489,2015,Instructional Aides,20285.00,1.00,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY ED CENTER,510069002489,2015,School Administration Staff,69709.00,1.00,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY ED CENTER,510069002489,2015,Support Services Staff (for Pupils and for Instructional Staff),0.00,0.00,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY ED CENTER,510069002489,2015,Non-Personnel Expenditures,28285.00,,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY ED CENTER,510069002489,2015,Total enrollment,,,0.00,0.00,0.00,2.00,0.00,16.00,0.00,18.00,4.00,0.00,2.00
VA,CARROLL CO PBLC SCHS,VA,OAKLAND ELEM,510069000253,2015,Salary Amount for Total Personnel (instructional support services and school administration),898410.00,,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,OAKLAND ELEM,510069000253,2015,Salary Amount for Teachers,756320.00,,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,OAKLAND ELEM,510069000253,2015,Instructional Aides,43336.00,2.00,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,OAKLAND ELEM,510069000253,2015,School Administration Staff,62034.00,1.00,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,OAKLAND ELEM,510069000253,2015,Support Services Staff (for Pupils and for Instructional Staff),559941.00,2.83,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,OAKLAND ELEM,510069000253,2015,Non-Personnel Expenditures,63524.00,,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,OAKLAND ELEM,510069000253,2015,Total enrollment,,,0.00,0.00,0.00,37.00,2.00,163.00,0.00,202.00,35.00,2.00,37.00
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY MIDDLE,510069000257,2015,Salary Amount for Total Personnel (instructional support services and school administration),6079167.00,,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY MIDDLE,510069000257,2015,Salary Amount for Teachers,3134300.00,,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY MIDDLE,510069000257,2015,Instructional Aides,124359.00,7.00,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY MIDDLE,510069000257,2015,School Administration Staff,223326.00,4.00,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY MIDDLE,510069000257,2015,Support Services Staff (for Pupils and for Instructional Staff),2597181.00,5.50,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY MIDDLE,510069000257,2015,Non-Personnel Expenditures,221128.00,,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,CARROLL COUNTY MIDDLE,510069000257,2015,Total enrollment,,,2.00,4.00,0.00,52.00,2.00,766.00,7.00,833.00,140.00,16.00,25.00
VA,CARROLL CO PBLC SCHS,VA,LAUREL ELEM,510069000250,2015,Salary Amount for Total Personnel (instructional support services and school administration),288435.00,,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,LAUREL ELEM,510069000250,2015,Salary Amount for Teachers,762792.00,,,,,,,,,,,,
VA,CARROLL CO PBLC SCHS,VA,LAUREL ELEM,510069000250,2015,Instructional Aides,67744.00,3.00,,,,,,,,,,,
