Lea State,LEA,School State,School,ID,Year,Category,Yes/No,Male,Female,Total,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total
VA,AUGUSTA CO PBLC SCHS,VA,BUFFALO GAP HIGH,510030000117,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.00,0.00,0.01,0.00,0.47,0.00,0.49
VA,AUGUSTA CO PBLC SCHS,VA,WILSON MEMORIAL HIGH,510030000138,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,WILSON MEMORIAL HIGH,510030000138,2015,Single-sex teams,,0.48,0.52,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,WILSON MEMORIAL HIGH,510030000138,2015,Single-sex sports,,0.47,0.53,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,WILSON MEMORIAL HIGH,510030000138,2015,Participants on single-sex teams,,0.44,0.56,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,WILSON MEMORIAL HIGH,510030000138,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.01,0.00,0.01,0.01,0.45,0.02,0.50
VA,AUGUSTA CO PBLC SCHS,VA,WILSON MEMORIAL HIGH,510030000138,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.00,0.00,0.03,0.01,0.45,0.01,0.50
VA,AUGUSTA CO PBLC SCHS,VA,STUARTS DRAFT HIGH,510030000132,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,STUARTS DRAFT HIGH,510030000132,2015,Single-sex teams,,0.32,0.68,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,STUARTS DRAFT HIGH,510030000132,2015,Single-sex sports,,0.47,0.53,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,STUARTS DRAFT HIGH,510030000132,2015,Participants on single-sex teams,,0.46,0.54,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,STUARTS DRAFT HIGH,510030000132,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.00,0.00,0.02,0.02,0.47,0.02,0.53
VA,AUGUSTA CO PBLC SCHS,VA,STUARTS DRAFT HIGH,510030000132,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.00,0.00,0.01,0.02,0.43,0.01,0.47
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Single-sex teams,,0.50,0.50,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Single-sex sports,,0.50,0.50,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Participants on single-sex teams,,0.46,0.54,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.00,0.00,0.01,0.00,0.50,0.00,0.52
VA,AUGUSTA CO PBLC SCHS,VA,RIVERHEADS HIGH,510030000129,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.00,0.00,0.00,0.01,0.44,0.02,0.48
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Single-sex teams,,0.50,0.50,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Single-sex sports,,0.47,0.53,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Participants on single-sex teams,,0.53,0.47,1.00,,,,,,,,
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.01,0.00,0.04,0.00,0.45,0.01,0.51
VA,AUGUSTA CO PBLC SCHS,VA,FT DEFIANCE HIGH,510030000124,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.00,0.00,0.04,0.01,0.43,0.02,0.49
VA,BATH CO PBLC SCHS,VA,BATH COUNTY HIGH,510033000139,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,BATH CO PBLC SCHS,VA,BATH COUNTY HIGH,510033000139,2015,Single-sex teams,,0.41,0.59,1.00,,,,,,,,
VA,BATH CO PBLC SCHS,VA,BATH COUNTY HIGH,510033000139,2015,Single-sex sports,,0.44,0.56,1.00,,,,,,,,
VA,BATH CO PBLC SCHS,VA,BATH COUNTY HIGH,510033000139,2015,Participants on single-sex teams,,0.50,0.50,1.00,,,,,,,,
VA,BATH CO PBLC SCHS,VA,BATH COUNTY HIGH,510033000139,2015,Total Enrollment (Secondary Schools)-male,,,,,0.01,0.00,0.00,0.01,0.02,0.47,0.03,0.54
VA,BATH CO PBLC SCHS,VA,BATH COUNTY HIGH,510033000139,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.00,0.00,0.01,0.01,0.43,0.01,0.46
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Single-sex teams,,0.50,0.50,1.00,,,,,,,,
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Single-sex sports,,0.50,0.50,1.00,,,,,,,,
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Participants on single-sex teams,,0.46,0.54,1.00,,,,,,,,
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Total Enrollment (Secondary Schools)-male,,,,,0.01,0.00,0.00,0.02,0.05,0.38,0.02,0.49
VA,BEDFORD CO PBLC SCHS,VA,LIBERTY HIGH,510036000151,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.00,0.00,0.01,0.06,0.42,0.02,0.51
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Has interscholastic athletics,No,,,,,,,,,,
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Single-sex teams,,0,0,0,,,,,,,,
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Single-sex sports,,0,0,0,,,,,,,,
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Participants on single-sex teams,,0,0,0,,,,,,,,
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.01,0.00,0.03,0.06,0.55,0.00,0.65
VA,BEDFORD CO PBLC SCHS,VA,BEDFORD SCIENCE AND TECHNOLOGY CENTER,510036000142,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.00,0.00,0.00,0.03,0.32,0.00,0.35
VA,LOUDOUN CO PBLC SCHS,VA,BRIAR WOODS HIGH,510225002451,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,BRIAR WOODS HIGH,510225002451,2015,Single-sex teams,,0.50,0.50,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,BRIAR WOODS HIGH,510225002451,2015,Single-sex sports,,0.50,0.50,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,BRIAR WOODS HIGH,510225002451,2015,Participants on single-sex teams,,0.58,0.42,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,BRIAR WOODS HIGH,510225002451,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.09,0.00,0.04,0.04,0.31,0.02,0.49
VA,LOUDOUN CO PBLC SCHS,VA,BRIAR WOODS HIGH,510225002451,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.10,0.00,0.04,0.03,0.31,0.02,0.51
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN COUNTY HIGH,510225000923,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN COUNTY HIGH,510225000923,2015,Single-sex teams,,0.53,0.47,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN COUNTY HIGH,510225000923,2015,Single-sex sports,,0.48,0.52,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN COUNTY HIGH,510225000923,2015,Participants on single-sex teams,,0.55,0.45,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN COUNTY HIGH,510225000923,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.04,0.00,0.09,0.03,0.34,0.02,0.52
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN COUNTY HIGH,510225000923,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.03,0.00,0.08,0.03,0.31,0.02,0.48
VA,LOUDOUN CO PBLC SCHS,VA,DOMINION HIGH,510225002411,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,DOMINION HIGH,510225002411,2015,Single-sex teams,,0.51,0.49,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,DOMINION HIGH,510225002411,2015,Single-sex sports,,0.52,0.48,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,DOMINION HIGH,510225002411,2015,Participants on single-sex teams,,0.60,0.40,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,DOMINION HIGH,510225002411,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.07,0.00,0.16,0.05,0.24,0.02,0.54
VA,LOUDOUN CO PBLC SCHS,VA,DOMINION HIGH,510225002411,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.06,0.00,0.12,0.03,0.23,0.02,0.46
VA,LOUDOUN CO PBLC SCHS,VA,TUSCARORA HIGH,510225002817,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,TUSCARORA HIGH,510225002817,2015,Single-sex teams,,0.50,0.50,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,TUSCARORA HIGH,510225002817,2015,Single-sex sports,,0.46,0.54,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,TUSCARORA HIGH,510225002817,2015,Participants on single-sex teams,,0.56,0.44,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,TUSCARORA HIGH,510225002817,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.03,0.00,0.13,0.05,0.26,0.03,0.50
VA,LOUDOUN CO PBLC SCHS,VA,TUSCARORA HIGH,510225002817,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.04,0.00,0.10,0.04,0.29,0.03,0.50
VA,LOUDOUN CO PBLC SCHS,VA,WOODGROVE HIGH,510225002812,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,WOODGROVE HIGH,510225002812,2015,Single-sex teams,,0.50,0.50,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,WOODGROVE HIGH,510225002812,2015,Single-sex sports,,0.46,0.54,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,WOODGROVE HIGH,510225002812,2015,Participants on single-sex teams,,0.58,0.42,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,WOODGROVE HIGH,510225002812,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.02,0.00,0.03,0.02,0.46,0.01,0.55
VA,LOUDOUN CO PBLC SCHS,VA,WOODGROVE HIGH,510225002812,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.01,0.00,0.03,0.01,0.37,0.01,0.45
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN VALLEY HIGH,510225000924,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN VALLEY HIGH,510225000924,2015,Single-sex teams,,0.50,0.50,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN VALLEY HIGH,510225000924,2015,Single-sex sports,,0.48,0.52,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN VALLEY HIGH,510225000924,2015,Participants on single-sex teams,,0.62,0.38,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN VALLEY HIGH,510225000924,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.01,0.00,0.04,0.02,0.42,0.02,0.52
VA,LOUDOUN CO PBLC SCHS,VA,LOUDOUN VALLEY HIGH,510225000924,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.01,0.00,0.03,0.02,0.38,0.02,0.48
VA,LOUDOUN CO PBLC SCHS,VA,FREEDOM HIGH,510225002447,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,FREEDOM HIGH,510225002447,2015,Single-sex teams,,0.47,0.52,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,FREEDOM HIGH,510225002447,2015,Single-sex sports,,0.44,0.56,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,FREEDOM HIGH,510225002447,2015,Participants on single-sex teams,,0.60,0.40,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,FREEDOM HIGH,510225002447,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.13,0.00,0.04,0.03,0.24,0.03,0.48
VA,LOUDOUN CO PBLC SCHS,VA,FREEDOM HIGH,510225002447,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.14,0.00,0.04,0.04,0.27,0.03,0.52
VA,LOUDOUN CO PBLC SCHS,VA,HERITAGE HIGH,510225002285,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,HERITAGE HIGH,510225002285,2015,Single-sex teams,,0.54,0.46,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,HERITAGE HIGH,510225002285,2015,Single-sex sports,,0.50,0.50,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,HERITAGE HIGH,510225002285,2015,Participants on single-sex teams,,0.62,0.38,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,HERITAGE HIGH,510225002285,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.06,0.00,0.08,0.05,0.27,0.03,0.49
VA,LOUDOUN CO PBLC SCHS,VA,HERITAGE HIGH,510225002285,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.06,0.00,0.09,0.05,0.29,0.03,0.51
VA,LOUDOUN CO PBLC SCHS,VA,STONE BRIDGE HIGH,510225002538,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,STONE BRIDGE HIGH,510225002538,2015,Single-sex teams,,0.51,0.49,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,STONE BRIDGE HIGH,510225002538,2015,Single-sex sports,,0.50,0.50,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,STONE BRIDGE HIGH,510225002538,2015,Participants on single-sex teams,,0.56,0.44,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,STONE BRIDGE HIGH,510225002538,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.07,0.00,0.05,0.03,0.33,0.03,0.50
VA,LOUDOUN CO PBLC SCHS,VA,STONE BRIDGE HIGH,510225002538,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.05,0.00,0.05,0.04,0.33,0.03,0.50
VA,LOUDOUN CO PBLC SCHS,VA,RIVERSIDE HIGH,510225003001,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,RIVERSIDE HIGH,510225003001,2015,Single-sex teams,,0.51,0.49,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,RIVERSIDE HIGH,510225003001,2015,Single-sex sports,,0.48,0.52,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,RIVERSIDE HIGH,510225003001,2015,Participants on single-sex teams,,0.59,0.41,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,RIVERSIDE HIGH,510225003001,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.09,0.00,0.05,0.05,0.29,0.03,0.51
VA,LOUDOUN CO PBLC SCHS,VA,RIVERSIDE HIGH,510225003001,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.10,0.00,0.06,0.05,0.26,0.03,0.49
VA,LOUDOUN CO PBLC SCHS,VA,POTOMAC FALLS HIGH,510225001627,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,POTOMAC FALLS HIGH,510225001627,2015,Single-sex teams,,0.51,0.49,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,POTOMAC FALLS HIGH,510225001627,2015,Single-sex sports,,0.48,0.52,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,POTOMAC FALLS HIGH,510225001627,2015,Participants on single-sex teams,,0.56,0.44,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,POTOMAC FALLS HIGH,510225001627,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.06,0.00,0.11,0.04,0.28,0.02,0.52
VA,LOUDOUN CO PBLC SCHS,VA,POTOMAC FALLS HIGH,510225001627,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.06,0.00,0.09,0.04,0.25,0.03,0.48
VA,LOUDOUN CO PBLC SCHS,VA,ROCK RIDGE HIGH,510225002969,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,ROCK RIDGE HIGH,510225002969,2015,Single-sex teams,,0.55,0.45,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,ROCK RIDGE HIGH,510225002969,2015,Single-sex sports,,0.52,0.48,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,ROCK RIDGE HIGH,510225002969,2015,Participants on single-sex teams,,0.63,0.37,1.00,,,,,,,,
VA,LOUDOUN CO PBLC SCHS,VA,ROCK RIDGE HIGH,510225002969,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.17,0.00,0.04,0.07,0.20,0.02,0.50
VA,LOUDOUN CO PBLC SCHS,VA,ROCK RIDGE HIGH,510225002969,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.17,0.00,0.05,0.05,0.20,0.03,0.50
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,LAFAYETTE HIGH,510402001773,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,LAFAYETTE HIGH,510402001773,2015,Single-sex teams,,0.47,0.53,1.00,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,LAFAYETTE HIGH,510402001773,2015,Single-sex sports,,0.48,0.52,1.00,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,LAFAYETTE HIGH,510402001773,2015,Participants on single-sex teams,,0.54,0.46,1.00,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,LAFAYETTE HIGH,510402001773,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.01,0.00,0.05,0.12,0.29,0.03,0.51
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,LAFAYETTE HIGH,510402001773,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.01,0.00,0.05,0.12,0.26,0.03,0.49
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,JAMESTOWN HIGH,510402001665,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,JAMESTOWN HIGH,510402001665,2015,Single-sex teams,,0.50,0.50,1.00,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,JAMESTOWN HIGH,510402001665,2015,Single-sex sports,,0.48,0.52,1.00,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,JAMESTOWN HIGH,510402001665,2015,Participants on single-sex teams,,0.55,0.45,1.00,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,JAMESTOWN HIGH,510402001665,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.01,0.00,0.04,0.05,0.39,0.03,0.53
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,JAMESTOWN HIGH,510402001665,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.02,0.00,0.04,0.05,0.35,0.02,0.47
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,WARHILL HIGH,510402002658,2015,Has interscholastic athletics,Yes,,,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,WARHILL HIGH,510402002658,2015,Single-sex teams,,0.50,0.50,1.00,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,WARHILL HIGH,510402002658,2015,Single-sex sports,,0.50,0.50,1.00,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,WARHILL HIGH,510402002658,2015,Participants on single-sex teams,,0.55,0.45,1.00,,,,,,,,
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,WARHILL HIGH,510402002658,2015,Total Enrollment (Secondary Schools)-male,,,,,0.00,0.02,0.00,0.04,0.11,0.32,0.03,0.51
VA,WILLIAMSBURG-JAMES CITY PBLC SCHS,VA,WARHILL HIGH,510402002658,2015,Total Enrollment (Secondary Schools)-female,,,,,0.00,0.01,0.00,0.03,0.09,0.33,0.02,0.49
VA,WINCHESTER CITY PBLC SCHS,VA,JOHN HANDLEY HIGH,510405001780,2015,Has interscholastic athletics,Yes,,,,,,,,,,
